PMID ,PERSONS
PMID , 
17237073," Andreas Kahari , Stefan Gr , "
18567917," Yuri Merezhuk , Ivan Ovcharenko , "
18558620, 
18562273, 
18593718," Gouzy , Jason S. Iacovoni , "
18573796, 
18535085, 
18573797, 
18599518, 
18596077, 
18556668, 
18952627," Gennady Denisov , Aaron Halpern , Saul Kravitz , Laura Sheahan , Tim Stockwell , Shibu Yooseph , Swapna Annavarapu , Les Foster , Hernan Lorenzi , Diana Radune , Joana Da Silva , Indresh Singh , J. Craig Venter Institute , "
18940824," Sven Siebert , Cynthia M. Sharma , Vogel , Michael Beckstette , "
18940828," Koen Smets , Taku Kudo , Francesca Diella , "
18940825, 
18984598," Barbara Wold , Zhengqing Ouyang , Xi Chen , Xiao Tong , "
18974172, 
18953044, 
18974167, 
18953045," David Maddison , "
18922806," John McCrae , ROIS , "
18845581," Rajandream , Christopher Newbold , "
18852176," Yong Woo , Gary Churchill , Elissa Chesler , Graber , Michael Brockman , Carol Bult , Hyuna Yang , Joel Richardson , "
18842597," Sonya Clegg , "
18842598," Martin Storm , Terry Turner , Bergman , "
18849569, 
18818215, 
18930952," Simon Chiang , "
18842599, 
18842600, 
18025002," Andrew Fire , Larry L. Hillblom , S.K. , "
18511466, 
18499695, 
18492685, 
18450811, 
18477576, 
18467347," Bing Liu , Yiming Ma , Liu , Eivind Almaas , Cheol-Min Ghim , Yongqin Jiao , "
18467344," Christine Green , "
18487242," Swelfe , "
18474506," Eugene Koonin , Jacek Majewski , Igor Rogozin , Scott Roy , "
18480101," Anton Bergheim , Tania Broveak Hide , Mario Jonas , Gwen Koning , Pravesh Ranchod , Peter van Heusden , Jeff Chen , Jeremy Main , Albert Gazendam , Ananth Kalyanaraman , W.H. , Alexander , "
18499696," Matthew Hibbs , Chad Myers , "
18689809, 
18586702, 
18586703, 
18586704, 
18586705, 
18586706," Oliver Rando , Ofer Meshi , Naomi Habib , Hanah Margalit , Ilan Wapinski , "
18586707, 
18586708," M. Wistrand , E. Sonnhammer , "
18586709," Fritz Melchers , Roland Krause , "
18586710," Richard Mann , Gabor Halasz , Ronald Tepper , "
18586711, 
18586712," David Baker , "
18586713," LIBI , "
18586714," J. Groh , Donald , Richardson , "
None, 
18586716, 
18586717," Michal Linial , Julia Shifman , Ora , Nati Linial , C.Y. , "
18586718," A. Bley , I. Ljubi , A. Moser , "
18586719, 
18586720," A. De Rycke , "
18586721, 
18586722," Oznur Tastan , "
18586723," Pallavi Kaipa , Ron Caspi , "
18586724," Erfan Younesi , Harsha Gurulingappa , Katrin Tomanek , Theo Mevissen , "
18586725," David J. States , Alex Ade , Anthony Fader , Joshua Gerrish , "
18586726," Andrew McCallum , Fernando Pereira , Kuzman Ganchev , Mallet , "
18586727, 
18586728, 
18586729," Alan Rector , Elena Bei , Jena , Udo Hahn , Jena , Eric van Mulligen , Hoek , Olivier Bodenreider , "
18586730, 
18586731," J.F. Gibrat , Anne Morgat , Eric Coissac , Sarah Cohen Boulakia , "
18586732," Chad Myers , Matthew Hibbs , Florian Markowetz , David Hess , Camelia Chiriac , "
18586733," Amy Harms , Dr Gregory Barrett-Wilt , Angela Walker , Takis Papoulias , "
18586734, 
18586735, 
18586736, 
18586737," Sophie Piperno-Neumann , Simon Saule , Institut Curie , Philippe Hup , E.B. , Equipe , "
18586738," Tomas Vinar , "
18586739," Dr Jean Yee Hwa Yang , Dr Monnie McGee , "
18586740," Fulop Bazs , Gabor Borgulya , Andrea Petroczi , Penny Bidgood , James Denholm-Price , "
18586741," X. Zhou , "
18586742," Anthony Quinn , Nati Linial , Ori Sasson , Roy Varshavsky , Y.L. , "
None, 
18785330," Ari Frank , Sangtae Kim , "
18586744, 
18586745," Alexey Kondrashov , Lars Feuk , Stephen Scherer , Yevgeny Brudno , Andy Pang , Paul Medvedev , Stephen Rumble , "
18586746," G. Schweikert , "
18586747, 
18586748, 
18586749, 
18586750," Ken Wolfe , Kevin Byrne , Jonathan Gordon , Howard Bussey , Eric Tannier , Robert Warren , "
18463117, 
18445605," Michael Smoot , Ethan Cerami , Benjamin Gross , Daniel Abel , Alexander Pico , Cytoscape , "
18434342," Marie Curie , "
18430742, 
18400773," Antonio Jimeno Yepes , "
18356192, 
18375964," Rieko Ishima , "
18397894," Dirk Linke , Marcin Grynberg , "
18378525," Technology , "
18388142," Martin Karlsson , M. S. , "
18400774, 
18829707," Yanay Ofran , Rajesh Nair , Avner Schlessinger , Marco Punta , Jinfeng Liu , "
18845584, 
18227117," Florian Markowetz , Rainer Spang , Andreas Bune , Markus Ruschhaupt , Ruprecht Kuner , Dirk Ledwinda , "
18723522," Alex Bateman , Alex Bateman , "
18776193," Anthony Capra , Mona Singh , Eunseog Youn , Sean Mooney , "
18757874," Rasmus R. Schr , Kenneth C. Holmes , Dalia Segal , Sharon Wolf , Amnon Horovitz , Michael E. Brandt , Jochen Heyd , W.W. , M. Keck , "
18779233, 
18784118," Stuart Schreiber , John Tallarico , Nathaniel Gray , Gabriel Berriz , Lan Zhang , John Sullivan , Caroline Shamu , "
18606607," Roland Luethy , Jonathan Katz , Natalie Tasman , Brian Pratt , Eric Deutsch , "
18784119, 
18776194," John Reinitz , Stefan Maetschke , Fabian Buske , Lachlan Dufton , "
18710874, 
18779234," Narasimha Rao , Wengang Zhou , "
18772154, 
18776192, 
18703587," Alexey Murzin , Kiyoshi Nagai , Dr Maria Garcia-Alai , Dr Trevor Rutherford , Alan Fersht , "
18718942," Perl , "
18710876," Jinbo Xu , "
18723523, 
18718947, 
18757876," Jinfeng Liu , Andrew Kernytsky , Chani Weinreb , Marco Punta , Avner Schlessinger , Dariusz Przybylski , Rudolph L. Leibel , "
18676972," Markus Ruschhaupt , Ruprecht Kuner , Dirk Ledwinda , T.B. , T.B. , H.S. , "
18676415," Pierre Mah , "
18635567," Martin Schumacher , Thomas Gerds , Le Borgne , C.D. , C. Sotiriou , M. Delorenzi , M. Piccart , "
18697767," J. Beaver , E. Birney , C. Bult , R. Gerszten , A. Kasprzyk , D. Maglott , J. Mellor , T. Shtatland , M. Tasan , "
18678588," Johannes , Beth Cockerham , Kiran Garimella , "
18617538," Clive Hoggart , Guy Leschziner , "
18614583," Eva Balso-Canto , Julie Blumberg , Stefan Hengl , Clemens Kreutz , Stefan Legewie , David Liffmann , Christian Ludwig , Peter Nickel , Tatsunori Nishimura , Martin Peifer , Andreas Raue , Marcel Schilling , "
18718948," H.S. , "
18689808, 
18653522," Ian Brock , "
18635573, 
18678589, 
18625611," J.T. , "
18603566," Yuriy Mishchenko , Ting Zhao , Jonathan Wren , Margaret Jefferies , Badrinath Roysam , Julie Simpson , Phuong Chung , "
18586698, 
18591192, 
18614585, 
18603567," M.P. , J.K. , M.W. , J.A. , "
18628289, 
18625612," Peter Hung , Herbert Chase , Daniel Stein , "
19088121," Harm van Bakel , Jeff Liu , Gary Bader , Alan Davidson , "
18974168, 
19237444," Gentleman , Zhenyu Xu , Paul McGettigan , "
18703588," Colleen Fordyce , Dr Kurt Thorn , "
19246510, 
19237449," H. Saadi , M. Sansom , K. Scott , A. Chetwynd , S.K. , "
19237447," Van Cortenbosch , Ville , "
19237446," Frank Q.H. Ngo , Ching-Li Hsu , Tzu-Hui Wu , Kuen-Bor Chen , Chien-Hwa Chang , Kuang-Lee Li , Yu , Chung-Cheng Liu , Chong-Chou Lee , Lu , Charles Lee , Meijyh Kang , Yi-Lin Wu , Grant , "
19244388, 
19193730," Jens Nilsson , "
19213739," B. Sch , C.S. Ong , "
19193731, 
19218352, 
19233896, 
19254921," Peter Chen , Mike Cariaso , Jason Zhang , Dan Sommer , Mihai Pop , Art Delcher , Bill Klimke , "
19193729, 
18326507," Dr Angel W. Lee , "
19223449, 
19213741, 
19515959," Eric Cabot , Michael Cox , John Battista , "
19497932," Sam Kariuki , Rumina Hasan , Rajni Gaind , Shanta Dutta , "
19497935," Ming Tang , "
19505943," James Bonfield , "
19505941," Tony Watt , "
19497931, 
19460889, 
19505942," A. Tikhonov , J. Cho , R. Santamaria , "
19189979, 
19286833," Hugues Richard , "
19401402," Lothar Altschmied , Helmut , Udo Conrad , Gudrun , Alexander Schliep , Stefan Posch , "
19389732," Gabriele Schweikert , Sonnenburg , Alexander Zien , Max Planck , W.B. , "
19202194," Dean Jerry , Elizabeth Thompson , "
19505940, 
19497937, 
19470584," Anna Panchenko , John Spouge , "
19468053," Sandro Lambeck , "
19420051," J. Fadista , A. Ivens , D. Grove , "
