filename, PMID, AcknowledgementsText
Bioinformatics_2008_Jul_1_24(13)_i366-i374.nxml,18586736,"<ack><title>ACKNOWLEDGEMENTS</title><p>We acknowledge the support from the Bioinformatics Core Facility, the Center for Plant Cell Biology (CEPCEB) and the Institute for Integrative Genome Biology (IIGB) at UC Riverside.</p><p><italic>Funding</italic>: This work was supported by grants from the National Science Foundation (IOB-0420033, IOB-0420152, IGERT-0504249 and IIS-0711129).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2008_Jul_1_24(13)_i375-i382.nxml,18586737,"<ack><title>ACKNOWLEDGEMENTS</title><p>We thank Jérôme Couturier, Sophie Piperno-Neumann and Simon Saule, and the uveal melanoma group from Institut Curie. We are also grateful to Philippe Hupé for his help in preparing the data.</p><p><italic>Funding:</italic> This project was partly funded by the ACI IMPBIO Kernelchip and the EC contract ESBIC-D (LSHG-CT-2005-518192). F.R. and E.B. are members of the team ‘Systems Biology of Cancer’, Equipe labellisée par la Ligue Nationale Contre le Cancer.</p><p><italic>Conflict of Interest:</italic> none declared.</p></ack>"
Bioinformatics_2008_Jul_1_24(13)_i383-i389.nxml,18586738,<ack><title>ACKNOWLEDGEMENTS</title><p>We thank Brona Brejova and Tomas Vinar for providing ExonHunter and the training on <italic>Plasmodium</italic> sequences.</p><p><italic>Funding</italic>: This bioinformatics work is funded in part by a Grant from the Foundation for the National Institutes of Health through the Grand Challenges in Global Health initiative and the Ellison Medical Foundation (S.H.I.K.). Proteome analysis is supported by a Seattle Biomedical Research Institute Innovation grant (S.H.I.K.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>
Bioinformatics_2008_Nov_1_24(21)_2460-2466.nxml,18757874,"<ack><title>ACKNOWLEDGEMENTS</title><p>We thank Rasmus R. Schröder, Kenneth C. Holmes, Dalia Segal, Sharon Wolf and Amnon Horovitz for discussions, and Michael E. Brandt and Jochen Heyd for critical reading of the article.</p><p><italic>Funding</italic>: <funding_source>NIH</funding_source> (<award_id>R01GM62968 to W.W</award_id>); Human Frontier Science Program (RGP0026/2003 to W.W.); Startup funds of the University of Texas Health Science Center at Houston (to S.B.) Supported by a training fellowship from the W. M. Keck foundation to the Gulf Coast Consortia through the Keck Center for Interdisciplinary Bioscience Training (M.R.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2008_Sep_1_24(17)_1955-1956.nxml,18603567,"<ack><title>ACKNOWLEDGEMENTS</title><p><italic>Funding</italic>: This work was funded by the Ministry of Education of the Czech Republic (MSM0021622413 to M.P. and J.K., LC06030 to Z.K.); Grant Agency of the Czech Republic (GA303/06/570 to M.W. and J.A.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2009_Apr_1_25(7)_954-955.nxml,19193731,
Bioinformatics_2009_Aug_1_25(15)_1976-1977.nxml,19417059,"<ack><title>ACKNOWLEDGEMENTS</title><p>We thank Juok Cho for statistical advice; Dan Bolser and Duangrudee Tanramluk for review of the manuscript; Richard Bickerton and Bernardo Ochoa for thorough beta testing.</p><p><italic>Funding</italic>: Mogam Science Scholarship Foundation (to S.L., partial); The Wellcome Trust (to T.L.B.)</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2009_Jan_1_25(1)_119-120.nxml,18990721,"<ack><title>ACKNOWLEDGEMENTS</title><p>We would like to thank Maria Fookes and Tim Perkins (Wellcome Trust Sanger Institute) for the data <xref ref-type=""fig"" rid=""F1"">Figure 1</xref>C is based on.</p><p><italic>Funding</italic>: The Wellcome trust.</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2009_Jun_15_25(12)_1543-1549.nxml,19376825,"<ack><title>ACKNOWLEDGEMENTS</title><p>L.F. thanks Ben Good and Mark Wilkinson who provided introduction to biomedical ontologies and the life sciences semantic web.</p><p><italic>Funding</italic>: Natural Sciences and Engineering Research Council of Canada (to L.F.); a career award from the Michael Smith Foundation for Health Research, a Canadian Institutes of Health Research (CIHR) New Investigator award and a Human Brain Project grant from the <grant_sponsor>National Institutes of Health</grant_sponsor> (<grant_num>GM076990</grant_num>) (to P.P.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2010_Aug_1_26(15)_1819-1826.nxml,20519285,"<ack><title>ACKNOWLEDGEMENTS</title><p>We are grateful to all participants of the Georgia Tech Computational Genomics class; to Leonardo Mariño-Ramírez for valuable guidance and input; and to Joshua S. Weitz for his support.</p><p><italic>Funding</italic>: Defense Advanced Research Projects Agency (HR0011-05-1-0057 to A.O.K.); The Alfred P. Sloan Foundation (BR-4839 to I.K.J.); Georgia Research Alliance (GRA.VAC09.O to I.K.J., P.J., S.A.); Centers for Disease Control and Prevention (1 R36 GD 000075-1 to L.S.K.); Bioinformatics program, Georgia Institute of Technology (to J.H., P.J., V.N., S.A.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
